x_value,y_value,eye_side,Intoxication
48.68571472167969,14.638094902038574,1,1
50.989742279052734,19.074359893798828,1,1
52.86333465576172,19.886667251586914,1,1
50.104652404785156,21.182170867919922,1,1
49.11650466918945,21.822006225585938,1,1
48.75091552734375,21.622711181640625,0,1
49.01893997192383,23.56818199157715,0,1
49.304595947265625,20.41666603088379,0,1
48.53318405151367,20.004474639892578,1,1
37.911109924316406,14.121739387512207,0,1
41.13725662231445,18.061920166015625,0,1
39.4234504699707,17.05038833618164,0,1
38.160621643066406,15.70120906829834,0,1
37.30195236206055,15.78371524810791,0,1
37.51963424682617,15.786131858825684,0,1
37.66753387451172,14.979166984558105,0,1
32.990474700927734,14.102380752563477,0,1
35.35053253173828,14.692874908447266,0,1
41.38787841796875,14.357575416564941,1,1
40.85897445678711,13.448718070983887,1,1
40.041996002197266,13.729659080505371,1,1
39.267398834228516,12.516483306884766,1,1
40.3917121887207,13.269303321838379,1,1
40.18888854980469,13.604762077331543,1,1
39.19618225097656,12.921875,1,1
39.204246520996094,12.772875785827637,0,1
40.60512924194336,13.79316234588623,1,1
39.727272033691406,12.456140518188477,1,1
38.893035888671875,13.288557052612305,1,1
40.03333282470703,12.190476417541504,1,1
39.204246520996094,11.772875785827637,1,1
39.38605499267578,12.732993125915527,1,1
38.89743423461914,11.63931655883789,1,1
39.26597595214844,11.948186874389648,1,1
40.03721618652344,13.129449844360352,1,1
39.27016067504883,12.120967864990234,1,1
38.25925827026367,11.839031219482422,1,1
38.16524124145508,10.804842948913574,1,1
38.13418197631836,11.848870277404785,1,1
38.13418197631836,10.848870277404785,1,1
38.58687210083008,11.114542961120605,1,1
32.1715202331543,19.184465408325195,1,1
30.991525650024414,18.793785095214844,1,1
38.43764114379883,11.42630386352539,1,1
27.29166603088379,16.258333206176758,1,1
38.72314453125,11.571428298950195,1,1
28.21527862548828,18.22569465637207,1,1
24.743589401245117,16.05769157409668,1,1
28.96478843688965,15.227699279785156,1,1
28.507246017456055,17.7608699798584,1,1
31.0,16.3125,1,1
25.705427169799805,14.534883499145508,1,1
26.119205474853516,15.770419120788574,1,1
33.777042388916016,18.9735107421875,1,1
29.89873504638672,15.867088317871094,1,1
29.89873504638672,15.867088317871094,1,1
29.744234085083008,15.689727783203125,1,1
26.347736358642578,15.847736358642578,1,1
27.897058486938477,17.45833396911621,1,1
35.270530700683594,18.408212661743164,1,1
27.637889862060547,15.820143699645996,1,1
24.391498565673828,15.695749282836914,1,1
20.887556076049805,14.89026927947998,0,1
24.484848022460938,13.466666221618652,1,1
38.98223876953125,11.903005599975586,1,1
39.174468994140625,12.042552947998047,0,1
39.174468994140625,12.042552947998047,0,1
39.098453521728516,10.945147514343262,1,1
23.892019271850586,17.018779754638672,1,1
39.03748321533203,12.02008056640625,1,1
40.12044906616211,10.957983016967773,1,1
30.187301635742188,19.0222225189209,1,1
30.84000015258789,19.34666633605957,1,1
26.70760154724121,16.03508758544922,1,1
32.170833587646484,16.64583396911621,1,1
28.3099422454834,16.72514533996582,1,1
25.60360336303711,15.486486434936523,1,1
30.18431282043457,17.18431282043457,1,1
14.911765098571777,10.509803771972656,1,1
23.302831649780273,16.44444465637207,1,1
25.518293380737305,14.233739852905273,1,1
24.238094329833984,14.7619047164917,0,1
25.397260665893555,14.472602844238281,1,1
34.95082092285156,19.631147384643555,1,1
28.648578643798828,16.78553009033203,1,1
28.648578643798828,16.78553009033203,1,1
25.068750381469727,16.006250381469727,1,1
26.572463989257812,15.871980667114258,1,1
28.503704071044922,15.227160453796387,1,1
26.064516067504883,17.05645179748535,1,1
27.35416603088379,14.600000381469727,1,1
24.68402862548828,13.32638931274414,1,1
22.690696716308594,15.406940460205078,1,1
36.011417388916016,19.09360694885254,1,1
20.443138122558594,13.035294532775879,0,1
26.04166603088379,17.05208396911621,0,1
29.211639404296875,8.788359642028809,1,1
32.10293960571289,7.970588207244873,0,1
30.66666603088379,8.333333015441895,1,1
29.0,8.5,1,1
31.0,8.211640357971191,0,1
27.80392074584961,8.098039627075195,1,1
31.648317337036133,8.892966270446777,0,1
10.092592239379883,7.037036895751953,0,1
19.5,11.283950805664062,1,1
29.242063522338867,9.464285850524902,1,1
25.16993522644043,13.169934272766113,1,1
28.995670318603516,8.203463554382324,1,1
16.0,9.0,1,1
25.16993522644043,13.169934272766113,1,1
21.16993522644043,12.169934272766113,1,1
31.0,8.699187278747559,0,1
26.256410598754883,11.60897445678711,1,1
31.18000030517578,9.5,1,1
31.305810928344727,10.17125415802002,1,1
9.491525650024414,6.378530979156494,1,1
17.976608276367188,10.28654956817627,1,1
13.038888931274414,10.058333396911621,0,1
29.908676147460938,15.71689510345459,1,1
29.842857360839844,16.078571319580078,1,1
28.360097885131836,16.834548950195312,1,1
29.887290954589844,14.482014656066895,1,1
24.694835662841797,13.786384582519531,1,1
32.30537796020508,17.756988525390625,1,1
33.92465591430664,17.924657821655273,1,1
24.017963409423828,15.720559120178223,1,1
31.600414276123047,18.051759719848633,1,1
20.402151107788086,14.698925018310547,1,1
18.254064559936523,12.741869926452637,1,1
15.585783958435059,10.21813678741455,1,1
25.31884002685547,13.84679126739502,1,1
26.19827651977539,13.060344696044922,1,1
28.197101593017578,14.16231918334961,1,1
31.197368621826172,17.486841201782227,1,1
21.337806701660156,13.107382774353027,0,1
24.51207733154297,13.620773315429688,1,1
17.269546508789062,11.04321002960205,1,1
21.529558181762695,13.988329887390137,0,1
34.60297393798828,18.84288787841797,1,1
25.614154815673828,13.924657821655273,1,1
24.664268493652344,14.290167808532715,1,1
18.291746139526367,12.21944522857666,0,1
17.53561019897461,12.72725772857666,1,1
33.60297393798828,18.84288787841797,1,1
22.55172348022461,12.740229606628418,1,1
23.83857536315918,14.832284927368164,1,1
23.75583839416504,13.957536697387695,1,1
28.17494010925293,15.90307331085205,1,1
24.97402572631836,12.796536445617676,1,1
27.671567916870117,12.970588684082031,1,1
19.7652587890625,9.723004341125488,1,1
27.933332443237305,13.878787994384766,1,1
22.412185668945312,9.5591402053833,0,1
27.146825790405273,15.170635223388672,1,1
29.639999389648438,13.393333435058594,1,1
27.55376434326172,14.47311782836914,1,1
27.55376434326172,14.47311782836914,1,1
29.05789566040039,15.277193069458008,1,1
27.27416229248047,12.339250564575195,1,1
22.409191131591797,13.658550262451172,1,1
14.87860107421875,9.853909492492676,0,1
25.31884002685547,12.455486297607422,1,1
25.46703338623047,14.2399263381958,1,1
32.24864959716797,14.059459686279297,1,1
19.297950744628906,11.387336730957031,0,1
19.297950744628906,11.387336730957031,0,1
26.22037124633789,14.45555591583252,1,1
23.198457717895508,15.412331581115723,1,1
24.580644607543945,14.543010711669922,1,1
31.580644607543945,16.543010711669922,1,1
19.43691062927246,11.563088417053223,0,1
27.341793060302734,15.417935371398926,1,1
23.40322494506836,14.483870506286621,1,1
23.620981216430664,12.527918815612793,1,1
23.27752685546875,12.529411315917969,1,1
22.902156829833984,12.452735900878906,0,1
27.247947692871094,14.502463340759277,1,1
28.116352081298828,15.569182395935059,1,1
26.005155563354492,15.281786918640137,1,1
26.05031394958496,13.454402923583984,1,1
19.80827522277832,12.979036331176758,0,1
35.16360855102539,19.681957244873047,1,1
25.48768424987793,15.351395606994629,1,1
33.31950759887695,16.298002243041992,1,1
35.262245178222656,19.357030868530273,1,1
28.495412826538086,16.35932731628418,1,1
27.284006118774414,12.609865188598633,1,1
20.03099822998047,14.011809349060059,1,1
24.610000610351562,12.708333015441895,1,1
26.140968322753906,16.873714447021484,1,1
27.044553756713867,16.17656707763672,1,1
32.43703842163086,16.05629539489746,1,1
17.174203872680664,12.050251007080078,1,1
17.035242080688477,10.864904403686523,0,1
20.816526412963867,11.754901885986328,1,1
26.182085037231445,13.35976505279541,1,1
28.13768196105957,16.423189163208008,1,1
